"","DC0","DBH0","TPH0","DCt"
"355",2,6.6,2988.123291283,6
"356",3,7.1,2988.123291283,6
"357",4,5.9,2988.123291283,6
"358",4,7.5,2988.123291283,6
"359",4,6.5,2988.123291283,6
"360",2,5.8,2988.123291283,6
"361",3,5.7,2988.123291283,6
"362",3,7.9,2988.123291283,6
"363",2,6.6,2988.123291283,6
"364",3,7.1,2988.123291283,6
"365",2,5.7,208.1924959562,6
"366",3,5.4,1884.7441740682,6
"367",2,10.4,778.7922687828,6
"368",3,7.4,1698.2148199468,6
"369",2,5.5,1698.2148199468,6
"370",1,5,1223.6326517965,6
"371",4,6.2,2358.0399481832,6
"372",2,6.8,1284.402616105,6
"373",3,10.2,2343.1690556149,6
"374",2,7.2,2343.1690556149,6
"375",2,7.4,2403.9390199234,6
"376",1,7.7,1335.8075430764,6
"377",4,14.8,297.417851366,6
"378",4,12.9,297.417851366,6
"379",4,14.8,297.417851366,6
"380",4,12.9,297.417851366,6
"381",3,14.8,2083.5716326873,6
"382",3,5.4,831.483589789501,6
"383",2,7.6,1423.7465044509,6
"384",2,7.6,1423.7465044509,6
"385",1,5,2032.1667057159,6
"386",1,5.1,1832.0528530615,6
"387",2,5.8,1832.0528530615,6
"388",3,8.5,1832.0528530615,6
"389",3,8.4,1832.0528530615,6
"390",2,6.2,1832.0528530615,6
"391",2,6.5,1832.0528530615,6
"392",4,8,2217.409665802,6
"393",2,9.4,1403.3697566514,6
"394",2,20.7,3039.5282182544,6
"395",1,8.3,2662.2500488157,6
"396",2,5.2,846.3544823578,6
"397",2,6.1,1596.6913600393,6
"398",1,7.8,1416.9542551844,6
"399",1,5.7,2157.9260955288,6
"400",2,10.1,667.9037715382,6
"401",1,6.3,890.9671600627,6
"402",5,9.1,527.273489157,6
"403",3,9.9,527.273489157,6
"404",3,7.5,527.273489157,6
"405",5,9.1,527.273489157,6
"406",3,6.4,527.273489157,6
"407",2,10.9,527.273489157,6
"408",5,13.8,527.273489157,6
"409",1,6.6,1853.7159948963,6
"410",3,8,4862.2160339788,6
"411",4,7.4,2336.3768063484,6
"412",4,7.4,2336.3768063484,6
"413",3,5,2128.1843103922,6
"414",3,6.6,1542.7136449973,6
"415",3,6.6,1542.7136449973,6
"416",1,6.2,1276.3239728032,6
"417",3,10.9,297.417851366,6
"418",4,5.3,884.174910796201,6
"419",1,6,1001.8556573073,6
"420",1,6,1001.8556573073,6
"421",3,6.6,2356.7535541479,6
"422",1,5.1,831.483589789501,6
"423",3,7.8,342.0305290709,6
"424",2,5.7,757.129126948,6
"425",3,11.4,1498.1009672924,6
"426",3,5.2,3395.1432458583,6
"427",3,8.8,1832.0528530615,6
"428",3,9.6,2617.6373711108,6
"429",3,6.3,2617.6373711108,6
"430",1,5.5,267.6760662294,6
"431",3,7.8,490.7394547539,6
"432",1,6.7,490.7394547539,6
"433",1,8.3,490.7394547539,6
"434",3,7.8,490.7394547539,6
"435",1,5.6,661.1115222717,6
"436",2,6.4,778.7922687828,6
"437",3,6.4,986.984764739001,6
"438",1,8.1,801.741804652901,6
"439",3,7,801.741804652901,6
"440",3,5.4,801.741804652901,6
"441",5,7.5,1291.1948653715,6
"442",4,6,1379.133826746,6
"443",1,5.1,1972.6831354427,6
"444",1,5.1,1972.6831354427,6
"445",2,5.4,1972.6831354427,6
"446",1,5.2,1972.6831354427,6
"447",4,5.3,1646.8098929754,6
"448",3,5.6,1646.8098929754,6
"449",2,6.6,1646.8098929754,6
"450",3,5.2,1053.2605842787,6
"451",2,6.8,148.708925683,6
"452",2,30,1379.133826746,6
"453",4,12.1,1721.1643558169,6
"454",3,8.3,1818.4683545285,6
"455",3,5.7,1365.549328213,6
"456",3,6,2068.700740119,6
"457",1,7.5,978.906121437201,6
"458",4,5.2,793.6631613511,6
"459",3,8.6,3262.5916067789,6
"460",4,9.3,2224.2019150685,6
"461",4,5.4,1023.5187991421,6
"462",1,5.9,1446.696040321,6
"463",1,5.2,1446.696040321,6
"464",1,5.9,1446.696040321,6
"465",1,5,2151.1338462623,6
"466",4,9.6,1512.9718598607,6
"467",2,8.1,1009.9343006091,6
"468",2,10.9,1009.9343006091,6
"469",2,11.1,1009.9343006091,6
"470",2,8.6,1009.9343006091,6
"471",2,11.2,1009.9343006091,6
"472",2,8.1,1009.9343006091,6
"473",2,10.9,1009.9343006091,6
"474",2,11.1,1009.9343006091,6
"475",2,8.6,1009.9343006091,6
"476",4,6.9,1099.1596560189,6
"477",4,6.9,1099.1596560189,6
"478",3,16.5,133.8380331147,6
"479",3,7.5,1039.6760857457,6
"480",2,6.6,1260.1666861996,6
"481",3,5.8,1150.5645829903,6
"482",4,5.5,1188.3850114287,6
"483",2,8.6,178.4507108196,6
"484",4,5.9,2602.7664785425,6
"485",4,5,1772.5692827883,6
"486",1,5.2,459.711275582,6
"487",2,11.4,1187.0986173934,6
"488",2,9.4,371.7723142075,6
"489",1,10.4,661.1115222717,3
"490",3,6.2,4713.5071082958,3
"491",4,6.5,1676.551678112,4
"492",3,12.8,1097.8732619836,4
"493",3,8.5,846.354482357801,4
"494",1,8,765.2077702498,3
"495",2,7.5,905.838052631001,3
"496",3,11.4,616.4988445668,3
"497",4,7.1,1268.2453295014,4
"498",1,5,1580.5340734357,2
"499",3,5,786.8709120846,3
"500",1,13.9,2475.7206946943,3
"501",2,10.1,431.2558844807,3
"502",1,6.8,1913.1995651695,2
"503",3,5.8,1913.1995651695,3
"504",3,6.2,1913.1995651695,3
"505",2,6.3,1913.1995651695,3
"506",2,6.8,1913.1995651695,3
"507",1,7,1913.1995651695,2
"508",1,8.2,1913.1995651695,2
"509",3,16.2,1379.133826746,3
"510",3,12.3,1572.4554301339,3
"511",2,17,1246.5821876666,3
"512",5,16.2,1001.8556573073,5
"513",1,8.6,601.6279519985,3
"514",2,8.2,482.6608114521,3
"515",3,5.6,482.6608114521,3
"516",2,5.5,482.6608114521,3
"517",3,6.8,482.6608114521,3
"518",3,7.4,1557.5845375656,3
"519",1,12.4,727.3873418114,3
"520",2,7.5,1335.8075430764,3
"521",1,8.3,252.8051736611,3
"522",4,5.3,1009.9343006091,4
"523",1,10.5,727.3873418114,2
"524",1,10.2,1408.8756118826,4
"525",1,6.3,3818.3204870372,3
"526",1,9.4,3818.3204870372,3
"527",1,11.6,972.1138721707,1
"528",1,8.9,750.3368776815,2
"529",3,6.7,690.8533074083,4
"530",2,11.2,772.000019516301,4
"531",3,6.9,868.0176241926,3
"532",3,9.1,586.7570594302,3
"533",1,11.4,586.7570594302,2
"534",3,7.7,586.7570594302,3
"535",1,15.9,1661.6807855437,3
"536",1,5.5,1231.7112950983,2
"537",1,6.7,512.4025965887,3
"538",3,5.2,408.3063486106,3
"539",3,6.3,1838.845102328,3
"540",1,9,661.1115222717,1
"541",2,5.1,2470.2148394631,2
"542",2,5.2,757.129126948,3
"543",2,10,935.579837767601,2
"544",2,13,631.3697371351,4
"545",2,10.4,3691.274703189,3
"546",3,16.8,1135.693690422,4
"547",1,11,882.888516760901,3
"548",1,7.8,750.3368776815,1
"549",2,7.2,2654.1714055139,3
"550",1,10.9,2654.1714055139,3
"551",2,7.1,2669.0422980822,5
"552",3,5.3,408.3063486106,3
"553",4,8.4,949.1643363006,5
"554",3,9.3,949.1643363006,3
"555",1,12.9,550.2230250271,3
"556",1,6,684.0610581418,2
"557",1,8.2,942.372087034101,3
"558",2,10.7,786.8709120846,4
"559",1,5.7,1727.9566050834,3
"560",2,8.8,2159.2124895641,3
"561",2,6.6,2159.2124895641,3
"562",3,15.1,527.273489157,4
"563",1,6.5,1372.3415774795,3
"564",1,8.6,823.4049464877,3
"565",2,6,497.5317040204,3
"566",1,8.1,1416.9542551844,4
"567",2,12.2,1416.9542551844,3
"568",1,15.1,1727.9566050834,3
"569",3,6,824.691340523001,5
"570",2,10.1,2602.7664785425,3
"571",2,16.1,868.0176241926,4
"572",2,7.9,1469.6455761911,3
"573",2,7.2,1165.4354755586,3
"574",3,5.6,74.3544628415,3
"575",2,5.3,571.8861668619,3
"576",3,14.2,3001.707789816,3
"577",2,10.1,1335.8075430764,2
"578",1,14.6,859.9389808908,3
"579",1,5.5,1550.7922882991,2
"580",2,11.3,342.0305290709,3
"581",2,13.6,690.8533074083,4
"582",3,6.5,1076.2101201488,4
"583",2,8.4,356.9014216392,4
"584",2,5.8,1083.0023694153,3
"585",1,5.9,1054.546978314,2
"586",2,9,965.321622904201,2
"587",3,10.1,4372.7629732602,4
"588",1,9.4,1461.5669328893,2
"589",1,12.8,571.8861668619,3
"590",1,10.6,1898.3286726012,2
"591",2,8.9,2624.4296203773,2
"592",1,14.8,1698.2148199468,3
"593",1,10.3,616.4988445668,4
"594",1,6.6,675.98241484,3
"595",3,5.9,178.4507108196,4
"596",1,10.5,1253.3744369331,3
"597",2,12.3,386.6432067758,4
"598",2,12.5,89.2253554098,3
"599",3,8.8,467.7899188838,5
"600",1,8.5,1742.8274976517,3
"601",2,7.2,534.0657384235,2
"602",3,9.4,3247.7207142106,3
"603",1,6.5,1016.7265498756,1
"604",2,6,2558.1538008376,2
"605",1,5.5,548.9366309918,2
"606",2,12.3,1764.4906394865,3
"607",2,6.6,475.8685621856,4
"608",2,8.1,475.8685621856,3
"609",2,5.7,1439.9037910545,3
"610",2,15,2521.6197664345,2
"611",2,5.1,1069.4178708823,3
"612",3,10.7,1142.4859396885,3
"613",2,6.4,861.225374926101,2
"614",2,11.2,861.225374926101,2
"615",2,6.1,3084.1408959593,3
"616",2,5.1,3084.1408959593,3
"617",3,8.3,1869.8732814999,3
"618",3,7.3,1869.8732814999,4
"619",2,14.9,2105.2347745221,2
"620",1,5.1,1558.8709316009,2
"621",2,5.4,2083.5716326873,2
"622",2,7.5,1535.9213957308,2
"623",3,9.6,2366.118591485,5
"624",3,10,1304.7793639045,3
"625",3,6.6,2306.6350212118,3
"626",1,7.7,2032.1667057159,2
"627",1,6,2032.1667057159,2
"628",1,6.6,1832.0528530615,2
"629",3,7.3,1832.0528530615,3
"630",2,6.4,1832.0528530615,3
"631",2,8.7,1757.69839022,2
"632",1,7.3,371.7723142075,2
"633",2,6.5,1596.6913600393,3
"634",1,5.2,1596.6913600393,2
"635",3,8.4,1596.6913600393,3
"636",1,8.1,1596.6913600393,3
"637",2,9.5,1461.5669328893,2
"638",2,6,667.9037715382,2
"639",1,6.8,2098.4425252556,2
"640",3,6.4,527.273489157,3
"641",4,13.8,527.273489157,4
"642",2,10.4,527.273489157,2
"643",1,5.3,4862.2160339788,1
"644",2,5.7,2336.3768063484,2
"645",1,5.2,520.4812398905,2
"646",1,6.2,520.4812398905,2
"647",2,5.5,2128.1843103922,2
"648",2,5.8,2128.1843103922,2
"649",2,6.8,934.2934437323,2
"650",3,13.4,934.2934437323,3
"651",2,5.5,2284.971879377,2
"652",3,6.6,2284.971879377,3
"653",2,10.9,1001.8556573073,2
"654",2,7.6,1742.8274976517,2
"655",1,8.3,490.7394547539,1
"656",1,5.9,490.7394547539,1
"657",1,5.8,1320.9366505081,3
"658",2,16.5,4188.8064072094,2
"659",1,8.7,1291.1948653715,2
"660",1,7.1,1972.6831354427,3
"661",2,6.3,1669.7594288455,2
"662",1,9.1,148.708925683,4
"663",1,5.7,148.708925683,3
"664",1,5.7,2677.120941384,2
"665",3,8.3,1818.4683545285,3
"666",3,5.6,793.6631613511,4
"667",3,7.8,793.6631613511,3
"668",3,10.8,1023.5187991421,3
"669",2,7.6,2728.5258683554,2
"670",2,5.9,1446.696040321,2
"671",3,10.9,1446.696040321,3
"672",1,5.3,2151.1338462623,2
"673",3,6.1,2224.2019150685,4
"674",2,11.2,1009.9343006091,2
"675",3,5.7,1099.1596560189,3
"676",2,6.2,423.1772411789,2
"677",3,8.1,2105.2347745221,4
"678",2,5.2,1327.7288997746,2
"679",2,5.4,1327.7288997746,2
"680",1,6.1,5655.8791953299,1
"681",1,12.3,1772.5692827883,4
"682",3,15,2364.8321974497,3
"683",2,6,2364.8321974497,3
"684",3,13.9,371.7723142075,3
"685",3,10.4,446.126777049,6
"686",3,6.2,3239.6420709088,6
"687",4,6.5,1602.1972152705,6
"688",4,12.8,1016.7265498756,6
"689",4,8.5,631.3697371351,6
"690",3,7.9,750.3368776815,6
"691",3,7.6,720.5950925449,6
"692",3,11.5,356.9014216392,6
"693",4,6.8,1468.3591821558,6
"694",2,5,1580.5340734357,6
"695",3,5,446.126777049,6
"696",3,13.9,2505.4624798309,6
"697",3,8.4,371.7723142075,6
"698",2,6.5,2654.1714055139,6
"699",3,5.7,2654.1714055139,6
"700",3,6.1,2654.1714055139,6
"701",3,5.9,2654.1714055139,6
"702",3,6.3,2654.1714055139,6
"703",2,7,2654.1714055139,6
"704",2,8.1,2654.1714055139,6
"705",3,16.2,1008.6479065738,6
"706",3,11.5,2358.0399481832,6
"707",3,17.3,267.6760662294,6
"708",5,11.1,1357.4706849112,6
"709",3,8.6,586.7570594302,6
"710",3,8.2,1594.1185719687,6
"711",3,5.6,1594.1185719687,6
"712",3,5.5,1594.1185719687,6
"713",3,5.6,1594.1185719687,6
"714",3,7.4,1231.7112950983,6
"715",3,12.2,1268.2453295014,6
"716",3,7.4,1135.693690422,6
"717",3,6.2,208.1924959562,6
"718",4,5.2,535.3521324588,6
"719",2,10.5,897.7594093292,6
"720",4,10.1,1542.7136449973,6
"721",3,6.3,2936.7183643116,6
"722",3,9.5,2936.7183643116,6
"723",1,11.5,1216.84040253,6
"724",2,8.8,505.6103473222,6
"725",4,5.9,846.354482357801,6
"726",4,10.9,557.0152742936,6
"727",3,6.3,1038.3896917104,6
"728",3,7,342.0305290709,6
"729",2,11.2,342.0305290709,6
"730",3,7.6,342.0305290709,6
"731",3,15.9,1706.2934632486,6
"732",2,5.3,1261.4530802349,6
"733",3,6.5,542.1443817253,6
"734",3,5.2,438.0481337472,6
"735",3,5.1,2038.9589549824,6
"736",1,9,646.2406297034,6
"737",2,5,2225.4883091038,6
"738",3,5,786.8709120846,6
"739",2,9.9,861.2253749261,6
"740",4,12.8,416.3849919124,6
"741",3,10.2,3706.1455957573,6
"742",4,16.8,965.321622904201,6
"743",3,11,1038.3896917104,6
"744",1,7.8,750.3368776815,6
"745",3,7,2624.4296203773,6
"746",3,10.9,2624.4296203773,6
"747",5,7.1,2098.4425252556,6
"748",3,5.2,578.6784161284,6
"749",5,8.3,1645.5234989401,6
